VIN,Price,manufacturer,security_codes,model,engine,check_digit,model_year,plant_code,serial_number
1FTFX1EF5BFC59088,18900,1FT,F,X1E,F,5,B,F,C59088
1FMCU0F7XDUA74445,10300,1FM,C,U0F,7,X,D,U,A74445
1ZVBP8AM4C5227989,17800,1ZV,B,P8A,M,4,C,5,227989
1FMDK02166GA02073,1800,1FM,D,K02,1,6,6,G,A02073
3FAHP0JA2CR255815,12900,3FA,H,P0J,A,2,C,R,255815
1FMHK7D89CGA53423,20800,1FM,H,K7D,8,9,C,G,A53423
1FAHP2F89EG103882,18500,1FA,H,P2F,8,9,E,G,103882
1FMCU9C74AKC73720,6100,1FM,C,U9C,7,4,A,K,C73720
1FM5K8GT1DGB56359,35400,1FM,5,K8G,T,1,D,G,B56359
1FADP3K2XEL278221,13900,1FA,D,P3K,2,X,E,L,278221
1FMCU9J94DUA73644,15800,1FM,C,U9J,9,4,D,U,A73644
2FMDK3JC9BBA37647,14100,2FM,D,K3J,C,9,B,B,A37647
2FMHK6DT5CBD16447,13500,2FM,H,K6D,T,5,C,B,D16447
1FTNE1EW8CDB36402,17100,1FT,N,E1E,W,8,C,D,B36402
1FMCU9J9XEUC94425,22300,1FM,C,U9J,9,X,E,U,C94425
1FMEU73EX7UB39481,1800,1FM,E,U73,E,X,7,U,B39481
3FA6P0H7XDR224458,14600,3FA,6,P0H,7,X,D,R,224458
1FAFP55S53G203836,3500,1FA,F,P55,S,5,3,G,203836
1FMJK1H54CEF11475,23200,1FM,J,K1H,5,4,C,E,F11475
1FM5K8D85DGB67607,25000,1FM,5,K8D,8,5,D,G,B67607
1FAHP2D82EG162159,16700,1FA,H,P2D,8,2,E,G,162159
1FMCU0GX6EUB86160,13000,1FM,C,U0G,X,6,E,U,B86160
1FTFW1EFXDFC06957,23400,1FT,F,W1E,F,X,D,F,C06957
3FA6P0LU1DR301876,18300,3FA,6,P0L,U,1,D,R,301876
1FTFX1ET3CFB70501,25300,1FT,F,X1E,T,3,C,F,B70501
1FMZU73E55UA85554,1700,1FM,Z,U73,E,5,5,U,A85554
3FAHP0HA5CR388655,13000,3FA,H,P0H,A,5,C,R,388655
1FAHP2H8XDG235755,15600,1FA,H,P2H,8,X,D,G,235755
1FM5K8D89DGC30157,21300,1FM,5,K8D,8,9,D,G,C30157
1FBSS3BL5CDA88606,17900,1FB,S,S3B,L,5,C,D,A88606
1FAHP35N88W213071,3000,1FA,H,P35,N,8,8,W,213071
3FAHP0JG9CR431277,11300,3FA,H,P0J,G,9,C,R,431277
3FA6P0H94ER317687,15700,3FA,6,P0H,9,4,E,R,317687
1FADP5BU1DL513097,19000,1FA,D,P5B,U,1,D,L,513097
1FTSW31P83EB82493,3500,1FT,S,W31,P,8,3,E,B82493
1FMCU0F7XDUD21978,12100,1FM,C,U0F,7,X,D,U,D21978
4F2CZ02739KM03405,4800,4F2,C,Z02,7,3,9,K,M03405
1FM5K8F84DGC83605,25400,1FM,5,K8F,8,4,D,G,C83605
1FMCU0D70BKB49701,5700,1FM,C,U0D,7,0,B,K,B49701
1FTFW1ET2EKE14622,35250,1FT,F,W1E,T,2,E,K,E14622
1FTFW1CV1AFD47048,17600,1FT,F,W1C,V,1,A,F,D47048
1FTFW1E88AFA28544,18500,1FT,F,W1E,8,8,A,F,A28544
1ZVBP8AM1E5304630,18400,1ZV,B,P8A,M,1,E,5,304630
1FDNE3BL5BDB21601,9800,1FD,N,E3B,L,5,B,D,B21601
1FTFX1EV2AFD45853,18300,1FT,F,X1E,V,2,A,F,D45853
2FMDK3JC8BBB58265,16500,2FM,D,K3J,C,8,B,B,B58265
2FMDK3KC8CBA41480,22400,2FM,D,K3K,C,8,C,B,A41480
1FADP3F20DL267625,10600,1FA,D,P3F,2,0,D,L,267625
1ZVBP8EM0E5323051,21400,1ZV,B,P8E,M,0,E,5,323051
1FM5K8F83EGA09829,11700,1FM,5,K8F,8,3,E,G,A09829
1FAHP3GNXAW226097,6900,1FA,H,P3G,N,X,A,W,226097
1FMCU93175KD39355,3900,1FM,C,U93,1,7,5,K,D39355
2FTRX07W62CA81062,3100,2FT,R,X07,W,6,2,C,A81062
3FAHP0HA9CR236541,9900,3FA,H,P0H,A,9,C,R,236541
1FTFW1ET2DFA02952,25000,1FT,F,W1E,T,2,D,F,A02952
3FA6P0H74ER228653,14900,3FA,6,P0H,7,4,E,R,228653
1FTRF12W54NB71364,1400,1FT,R,F12,W,5,4,N,B71364
1FADP3F29DL300699,10700,1FA,D,P3F,2,9,D,L,300699
1FM5K8F81EGA92516,27200,1FM,5,K8F,8,1,E,G,A92516
1ZVBP8AM6E5241413,15500,1ZV,B,P8A,M,6,E,5,241413
1ZVBP8AM2E5240453,17700,1ZV,B,P8A,M,2,E,5,240453
1FAHP2J83EG172123,19200,1FA,H,P2J,8,3,E,G,172123
1FM5K7F83DGC11692,24400,1FM,5,K7F,8,3,D,G,C11692
3FA6P0H93DR112120,15600,3FA,6,P0H,9,3,D,R,112120
1FMCU0G92DUB07793,16200,1FM,C,U0G,9,2,D,U,B07793
1FMCU9GX5DUD79936,10900,1FM,C,U9G,X,5,D,U,D79936
1FADP5CU5DL555108,17200,1FA,D,P5C,U,5,D,L,555108
2FMDK4JCXEBA96507,29200,2FM,D,K4J,C,X,E,B,A96507
1FTFW1EF3EKD12529,27600,1FT,F,W1E,F,3,E,K,D12529
1FAHP2EW8CG120525,7500,1FA,H,P2E,W,8,C,G,120525
