VIN,Price,manufacturer,security_codes,model,engine,check_digit,model_year,plant_code,serial_number
1FT7W2B63CEB16102,35300,1FT,7,W2B,6,3,C,E,B16102
1FAHP3GN3AW181004,7700,1FA,H,P3G,N,3,A,W,181004
1FMCU0EG3CKA83001,16500,1FM,C,U0E,G,3,C,K,A83001
1FTMF1CM5BKD36514,11800,1FT,M,F1C,M,5,B,K,D36514
1FMCU0GX8DUD85273,17900,1FM,C,U0G,X,8,D,U,D85273
1FTFW1CF9EKD82247,24200,1FT,F,W1C,F,9,E,K,D82247
1ZVBP8EM1E5227106,13600,1ZV,B,P8E,M,1,E,5,227106
1FTWW3BR8AEB41814,12000,1FT,W,W3B,R,8,A,E,B41814
3FAHP0HA4CR330469,11900,3FA,H,P0H,A,4,C,R,330469
3FA6P0H70ER259284,14600,3FA,6,P0H,7,0,E,R,259284
2FMDK4JC4EBA72199,21800,2FM,D,K4J,C,4,E,B,A72199
1FADP3F27DL355216,9300,1FA,D,P3F,2,7,D,L,355216
1FMJU1J50BEF21794,25500,1FM,J,U1J,5,0,B,E,F21794
1FAHP2F80EG179569,20900,1FA,H,P2F,8,0,E,G,179569
1FAHP2F89EG132041,18000,1FA,H,P2F,8,9,E,G,132041
1FTRX17252NA91630,4200,1FT,R,X17,2,5,2,N,A91630
1FTPW14535FA85431,11200,1FT,P,W14,5,3,5,F,A85431
1FMCU0F76DUD57151,12500,1FM,C,U0F,7,6,D,U,D57151
1FTPW14V57KD53809,8000,1FT,P,W14,V,5,7,K,D53809
1FMPU16L61LA99946,2600,1FM,P,U16,L,6,1,L,A99946
1FTNE2EL5ADA54023,6200,1FT,N,E2E,L,5,A,D,A54023
3FAHP0HA6BR156788,8500,3FA,H,P0H,A,6,B,R,156788
3FAFP06Z06R144139,2600,3FA,F,P06,Z,0,6,R,144139
1FMCU03G49KA87666,7400,1FM,C,U03,G,4,9,K,A87666
1ZVFT80N265210605,8100,1ZV,F,T80,N,2,6,5,210605
1FMJK1H59DEF20058,25000,1FM,J,K1H,5,9,D,E,F20058
1FMCU0JX1EUA20945,23500,1FM,C,U0J,X,1,E,U,A20945
1FTYR44U88PB03652,9100,1FT,Y,R44,U,8,8,P,B03652
1FMYU93125KB61361,2600,1FM,Y,U93,1,2,5,K,B61361
1FTFW1ET6CFA13998,24800,1FT,F,W1E,T,6,C,F,A13998
1FADP3F28DL253004,9000,1FA,D,P3F,2,8,D,L,253004
1FADP3F20DL209398,12200,1FA,D,P3F,2,0,D,L,209398
1FAHP3N26CL317834,12200,1FA,H,P3N,2,6,C,L,317834
1FTFW1ET8CFC19114,29600,1FT,F,W1E,T,8,C,F,C19114
1FTNE2EWXEDA31692,24600,1FT,N,E2E,W,X,E,D,A31692
1FMZU73K34UA45431,2900,1FM,Z,U73,K,3,4,U,A45431
3FAHP0HA9CR421589,9800,3FA,H,P0H,A,9,C,R,421589
1FAHP3F26CL242292,9800,1FA,H,P3F,2,6,C,L,242292
2FMHK6DC1ABA39292,12800,2FM,H,K6D,C,1,A,B,A39292
1FA6P0H7XF5107260,16100,1FA,6,P0H,7,X,F,5,107260
1FMEU64E47UA93168,8300,1FM,E,U64,E,4,7,U,A93168
1FTPW14514KB68961,6100,1FT,P,W14,5,1,4,K,B68961
1ZVBP8EM9D5209905,13201,1ZV,B,P8E,M,9,D,5,209905
1FAHP2D87DG123825,12000,1FA,H,P2D,8,7,D,G,123825
3FAHP0JA0CR348400,12500,3FA,H,P0J,A,0,C,R,348400
1FMJU1H54EEF10324,29900,1FM,J,U1H,5,4,E,E,F10324
1FAHP25W29G123817,1600,1FA,H,P25,W,2,9,G,123817
1FAHP58S21A278966,1500,1FA,H,P58,S,2,1,A,278966
1FADP3F26EL177672,11400,1FA,D,P3F,2,6,E,L,177672
3FAHP0HA8CR315263,12900,3FA,H,P0H,A,8,C,R,315263
1FMCU0J98EUA79573,20000,1FM,C,U0J,9,8,E,U,A79573
1FMEU63E66UB69182,4600,1FM,E,U63,E,6,6,U,B69182
1FTFW1EF4CFC66764,30900,1FT,F,W1E,F,4,C,F,C66764
3FA6P0HR3DR219717,11001,3FA,6,P0H,R,3,D,R,219717
1FMZK02185GA58729,1700,1FM,Z,K02,1,8,5,G,A58729
2FMDK3GC4DBC96976,16200,2FM,D,K3G,C,4,D,B,C96976
3FA6P0K95DR215726,21800,3FA,6,P0K,9,5,D,R,215726
1FAHP2E85DG112546,12600,1FA,H,P2E,8,5,D,G,112546
1FMCU0J97EUB66204,20800,1FM,C,U0J,9,7,E,U,B66204
1FTFW1ET7EKE73102,30500,1FT,F,W1E,T,7,E,K,E73102
3FA6P0H78DR280432,10000,3FA,6,P0H,7,8,D,R,280432
1FAHP3F21CL127096,8900,1FA,H,P3F,2,1,C,L,127096
1FMHK8F83CGA43487,26200,1FM,H,K8F,8,3,C,G,A43487
1FMHK7D82CGA83220,14400,1FM,H,K7D,8,2,C,G,A83220
1FMCU9G93EUC24644,18000,1FM,C,U9G,9,3,E,U,C24644
1FAHP35N28W148444,3300,1FA,H,P35,N,2,8,W,148444
1FTRX02WX8KE16044,7600,1FT,R,X02,W,X,8,K,E16044
1FMCU9D70CKB27834,17000,1FM,C,U9D,7,0,C,K,B27834
1FTPW14556FA32506,8000,1FT,P,W14,5,5,6,F,A32506
1FMCU0G99DUC22813,17300,1FM,C,U0G,9,9,D,U,C22813
3FAHP0HG4CR162563,10900,3FA,H,P0H,G,4,C,R,162563
1FADP3F28EL102732,9500,1FA,D,P3F,2,8,E,L,102732
3FAHP0HA7CR421686,9200,3FA,H,P0H,A,7,C,R,421686
1FTPW14505FA31956,7100,1FT,P,W14,5,0,5,F,A31956
2FMDK4JC0CBA42484,21100,2FM,D,K4J,C,0,C,B,A42484
1FMCU9GX9EUD46018,21200,1FM,C,U9G,X,9,E,U,D46018
1ZVBP8JS8B5116214,32500,1ZV,B,P8J,S,8,B,5,116214
1FAFP45X44F109184,5800,1FA,F,P45,X,4,4,F,109184
1FTWW31R78EB89171,13300,1FT,W,W31,R,7,8,E,B89171
3FAHP0HA3CR239726,9500,3FA,H,P0H,A,3,C,R,239726
1FAFP31N77W230326,3500,1FA,F,P31,N,7,7,W,230326
1FAHP24W78G110304,5600,1FA,H,P24,W,7,8,G,110304
1FMCU03198KE79195,5800,1FM,C,U03,1,9,8,K,E79195
1FM5K8D84DGC91531,20500,1FM,5,K8D,8,4,D,G,C91531
1FAFP56S35A129868,3900,1FA,F,P56,S,3,5,A,129868
1FTNE1EW0EDA51329,17900,1FT,N,E1E,W,0,E,D,A51329
3FA6P0HR1DR312414,14000,3FA,6,P0H,R,1,D,R,312414
1FM5K8D8XEGB58886,26000,1FM,5,K8D,8,X,E,G,B58886
1FTPX14564NA97364,10400,1FT,P,X14,5,6,4,N,A97364
3FADP4FJ0CM199465,4100,3FA,D,P4F,J,0,C,M,199465
1FAFP406X4F225777,4000,1FA,F,P40,6,X,4,F,225777
1FADP3F29EL157965,11600,1FA,D,P3F,2,9,E,L,157965
1FTKR1AD3BPA39620,8600,1FT,K,R1A,D,3,B,P,A39620
1FTNF1CFXEKE27532,17200,1FT,N,F1C,F,X,E,K,E27532
2FMDK3GC5CBA62182,14600,2FM,D,K3G,C,5,C,B,A62182
1FM5K8GTXDGB29550,28800,1FM,5,K8G,T,X,D,G,B29550
3FAFP08Z16R120137,4000,3FA,F,P08,Z,1,6,R,120137
1FM5K7D83DGC37647,25700,1FM,5,K7D,8,3,D,G,C37647
2FMGK5C85DBD22057,22900,2FM,G,K5C,8,5,D,B,D22057
1FTPW14V39FA78470,20800,1FT,P,W14,V,3,9,F,A78470
1FADP5CU3DL515397,10700,1FA,D,P5C,U,3,D,L,515397
3FA6P0H72ER261148,13600,3FA,6,P0H,7,2,E,R,261148
3FADP4EJ7DM137242,9200,3FA,D,P4E,J,7,D,M,137242
3FAHP0HAXCR435565,10300,3FA,H,P0H,A,X,C,R,435565
1FMCU0E7XBKB04117,10000,1FM,C,U0E,7,X,B,K,B04117
1FMEU74E78UA04023,9100,1FM,E,U74,E,7,8,U,A04023
2FMDK51C79BA03986,8900,2FM,D,K51,C,7,9,B,A03986
2FMDK4JC3DBA18973,23400,2FM,D,K4J,C,3,D,B,A18973
2FMDK3JC4DBA93627,20000,2FM,D,K3J,C,4,D,B,A93627
1FTFW1ETXCKD49645,27600,1FT,F,W1E,T,X,C,K,D49645
1FMCU9EG6CKB76857,16700,1FM,C,U9E,G,6,C,K,B76857
2FMDK4KCXEBA78474,25600,2FM,D,K4K,C,X,E,B,A78474
3FA6P0H77DR179141,9700,3FA,6,P0H,7,7,D,R,179141
3FAHP0HA3BR286138,8000,3FA,H,P0H,A,3,B,R,286138
1FMCU0E7XCKC16420,16400,1FM,C,U0E,7,X,C,K,C16420
1FM5K7B92DGB71863,15600,1FM,5,K7B,9,2,D,G,B71863
1FM5K8D83DGC10650,20800,1FM,5,K8D,8,3,D,G,C10650
1FT8W3BT1BEB22415,33000,1FT,8,W3B,T,1,B,E,B22415
1FM5K8D81DGB61996,27300,1FM,5,K8D,8,1,D,G,B61996
1ZVBP8CF1D5223320,21600,1ZV,B,P8C,F,1,D,5,223320
1FMCU0HX5DUD85200,20000,1FM,C,U0H,X,5,D,U,D85200
1FMCU0GX4DUD76795,17000,1FM,C,U0G,X,4,D,U,D76795
1FA6P0H70E5377113,11400,1FA,6,P0H,7,0,E,5,377113
1FM5K8F84FGA04138,32900,1FM,5,K8F,8,4,F,G,A04138
3FAHP0GA5CR312080,8200,3FA,H,P0G,A,5,C,R,312080
1FALP4040TF182227,1500,1FA,L,P40,4,0,T,F,182227
1ZVBP8AM4E5292344,16600,1ZV,B,P8A,M,4,E,5,292344
1FAHP3FN4AW293974,3200,1FA,H,P3F,N,4,A,W,293974
1FA6P0H73E5397792,13600,1FA,6,P0H,7,3,E,5,397792
3FA6P0H7XDR205635,12300,3FA,6,P0H,7,X,D,R,205635
1FMCU0F71FUB06041,18300,1FM,C,U0F,7,1,F,U,B06041
1FMCU9J98EUB17131,23400,1FM,C,U9J,9,8,E,U,B17131
1FMYU02Z45DA10383,5200,1FM,Y,U02,Z,4,5,D,A10383
3FA6P0HD9ER172019,13500,3FA,6,P0H,D,9,E,R,172019
1FTPX12V77FA82440,6800,1FT,P,X12,V,7,7,F,A82440
1FMCU9DG6CKA84018,16700,1FM,C,U9D,G,6,C,K,A84018
1ZVBP8EM1D5260220,12900,1ZV,B,P8E,M,1,D,5,260220
1FTFW1EF0BFC51113,15800,1FT,F,W1E,F,0,B,F,C51113
1FAHP36N29W187986,1800,1FA,H,P36,N,2,9,W,187986
2FMDK3GCXDBB22670,13100,2FM,D,K3G,C,X,D,B,B22670
1FTRW14508FB46375,19200,1FT,R,W14,5,0,8,F,B46375
1FADP3F25EL163861,11500,1FA,D,P3F,2,5,E,L,163861
1FMCU0C77BKB14297,7300,1FM,C,U0C,7,7,B,K,B14297
1FA6P8AM7F5331097,22100,1FA,6,P8A,M,7,F,5,331097
1FMCU9GX0DUA42526,14400,1FM,C,U9G,X,0,D,U,A42526
1FAFP23106G119484,1200,1FA,F,P23,1,0,6,G,119484
3FADP4EJ2DM109171,10700,3FA,D,P4E,J,2,D,M,109171
1FMYU93185DA06527,3700,1FM,Y,U93,1,8,5,D,A06527
1FADP3F28EL137433,8100,1FA,D,P3F,2,8,E,L,137433
2FMDK4JCXDBA02706,19100,2FM,D,K4J,C,X,D,B,A02706
1FTSW21RX8EC25850,15200,1FT,S,W21,R,X,8,E,C25850
1FTPX14556KA81340,12500,1FT,P,X14,5,5,6,K,A81340
1FTEX1CM7DFB37963,22000,1FT,E,X1C,M,7,D,F,B37963
1FTNE1EW7EDA35287,19900,1FT,N,E1E,W,7,E,D,A35287
1FAHP3H29CL397237,9400,1FA,H,P3H,2,9,C,L,397237
3FA6P0H9XER279396,15400,3FA,6,P0H,9,X,E,R,279396
1FTEW1C84AFC50464,13900,1FT,E,W1C,8,4,A,F,C50464
3FA6P0K98ER301811,20000,3FA,6,P0K,9,8,E,R,301811
1FMCU9GX8DUA42449,15200,1FM,C,U9G,X,8,D,U,A42449
1FADP3K29DL218266,12700,1FA,D,P3K,2,9,D,L,218266
1FMCU9DG8BKA21405,6800,1FM,C,U9D,G,8,B,K,A21405
1FADP3F24EL318657,11200,1FA,D,P3F,2,4,E,L,318657
1FTEX1CM6EFB49717,23000,1FT,E,X1C,M,6,E,F,B49717
1FTPW14V39FA32895,16300,1FT,P,W14,V,3,9,F,A32895
3FADP4BJ0DM220726,9800,3FA,D,P4B,J,0,D,M,220726
1FM5K7D81DGC16523,18700,1FM,5,K7D,8,1,D,G,C16523
1FTRX14W84NB72275,8000,1FT,R,X14,W,8,4,N,B72275
1FTFX1EF4EFB62405,25500,1FT,F,X1E,F,4,E,F,B62405
1FMCU0GX7EUB81520,19200,1FM,C,U0G,X,7,E,U,B81520
1FAHP3H29CL455220,8800,1FA,H,P3H,2,9,C,L,455220
1FM5K8D84DGC90461,28300,1FM,5,K8D,8,4,D,G,C90461
1FMFU18518LA88227,17200,1FM,F,U18,5,1,8,L,A88227
1FMJU1J52EEF46197,35000,1FM,J,U1J,5,2,E,E,F46197
3FAHP0HA6CR447194,10500,3FA,H,P0H,A,6,C,R,447194
1FTNE2EW4EDA19750,19900,1FT,N,E2E,W,4,E,D,A19750
1FAHP3E24CL467781,7800,1FA,H,P3E,2,4,C,L,467781
1FMCU0HX1DUC33561,19000,1FM,C,U0H,X,1,D,U,C33561
1FADP5BU8DL516529,10800,1FA,D,P5B,U,8,D,L,516529
1FTKR1ED5BPA78882,15700,1FT,K,R1E,D,5,B,P,A78882
1FTFW1CF4DFA65922,21500,1FT,F,W1C,F,4,D,F,A65922
1FM5K8D82DGA61017,27300,1FM,5,K8D,8,2,D,G,A61017
1FTEX1EM5DFA32433,17500,1FT,E,X1E,M,5,D,F,A32433
3FA6P0H96ER308456,15300,3FA,6,P0H,9,6,E,R,308456
1FAHP3F23CL188420,9300,1FA,H,P3F,2,3,C,L,188420
1FMCU9G90DUB32096,16200,1FM,C,U9G,9,0,D,U,B32096
1FM5K7D81DGB13456,27800,1FM,5,K7D,8,1,D,G,B13456
1FADP3K27EL314138,12400,1FA,D,P3K,2,7,E,L,314138
3FADP4BJ7DM155972,10000,3FA,D,P4B,J,7,D,M,155972
1FMCU0J99DUB93810,18600,1FM,C,U0J,9,9,D,U,B93810
4F2YU08112KM42913,1050,4F2,Y,U08,1,1,2,K,M42913
3FADP4AJ3CM181114,3800,3FA,D,P4A,J,3,C,M,181114
1FTVX1EV9AKB99292,16000,1FT,V,X1E,V,9,A,K,B99292
2FMDK3JC0CBA68190,20400,2FM,D,K3J,C,0,C,B,A68190
2FMDK3GC6CBA47402,13300,2FM,D,K3G,C,6,C,B,A47402
1FTFW1EF2BFD18875,29200,1FT,F,W1E,F,2,B,F,D18875
1FTFW1EV5AFB02556,21600,1FT,F,W1E,V,5,A,F,B02556
1FTFW1EFXEKE71614,35800,1FT,F,W1E,F,X,E,K,E71614
1FTPX145X4NA12249,4900,1FT,P,X14,5,X,4,N,A12249
1FMCU031X2KA17106,2600,1FM,C,U03,1,X,2,K,A17106
3FAFP31371R237396,1900,3FA,F,P31,3,7,1,R,237396
1FT8W3BT7EEB80033,35800,1FT,8,W3B,T,7,E,E,B80033
1FADP3K27EL307478,12400,1FA,D,P3K,2,7,E,L,307478
1FMCU0G99EUA06221,16500,1FM,C,U0G,9,9,E,U,A06221
2FMDK3J99DBA48428,24500,2FM,D,K3J,9,9,D,B,A48428
3FA6P0H74ER261328,13800,3FA,6,P0H,7,4,E,R,261328
1ZVBP8EM9E5205905,14600,1ZV,B,P8E,M,9,E,5,205905
1FTPX14V17NA41904,2800,1FT,P,X14,V,1,7,N,A41904
3FADP4EJ6DM150502,8500,3FA,D,P4E,J,6,D,M,150502
1FTSW21P66EA57104,9500,1FT,S,W21,P,6,6,E,A57104
4N2XN11T4XD827434,1400,4N2,X,N11,T,4,X,D,827434
1FTPW14525FB33839,8500,1FT,P,W14,5,2,5,F,B33839
2FMDK3KC1DBC10904,23600,2FM,D,K3K,C,1,D,B,C10904
1FAHP3H27CL465437,11900,1FA,H,P3H,2,7,C,L,465437
3FADP4EJ9EM111940,10200,3FA,D,P4E,J,9,E,M,111940
3FAHP0JA5BR261588,8000,3FA,H,P0J,A,5,B,R,261588
3FAHP0HA0CR253728,17300,3FA,H,P0H,A,0,C,R,253728
2FMDK48C88BA64844,7000,2FM,D,K48,C,8,8,B,A64844
3FA6P0H70DR140262,15500,3FA,6,P0H,7,0,D,R,140262
1FM5K8D8XDGB69420,24100,1FM,5,K8D,8,X,D,G,B69420
1FM5K8D86DGA02990,25400,1FM,5,K8D,8,6,D,G,A02990
1FAHP56S32A270072,2500,1FA,H,P56,S,3,2,A,270072
1FMCU0E73CKB13288,13000,1FM,C,U0E,7,3,C,K,B13288
1FTFX1EFXDKD54272,23900,1FT,F,X1E,F,X,D,K,D54272
1FMJK1K57BEF12370,20800,1FM,J,K1K,5,7,B,E,F12370
1FTNW21P33EB82120,6900,1FT,N,W21,P,3,3,E,B82120
2FMDK38C19BA53499,8000,2FM,D,K38,C,1,9,B,A53499
2FABP7EVXBX183709,10300,2FA,B,P7E,V,X,B,X,183709
1FTFW1EF4DFC06937,26100,1FT,F,W1E,F,4,D,F,C06937
1FM5K8F83DGC02626,27200,1FM,5,K8F,8,3,D,G,C02626
2FMDK4KC2BBB57925,22800,2FM,D,K4K,C,2,B,B,B57925
1FMFU18L71LA04822,1250,1FM,F,U18,L,7,1,L,A04822
1FADP3F26EL140587,12200,1FA,D,P3F,2,6,E,L,140587
1FMCU9HX5DUA59885,15000,1FM,C,U9H,X,5,D,U,A59885
3FAFP31381R245085,1800,3FA,F,P31,3,8,1,R,245085
1FTFW1EF4CFB36208,19600,1FT,F,W1E,F,4,C,F,B36208
1FTYR10D16PA76456,1800,1FT,Y,R10,D,1,6,P,A76456
1FM5K8D81DGC20173,22800,1FM,5,K8D,8,1,D,G,C20173
1FADP3F2XEL213668,8500,1FA,D,P3F,2,X,E,L,213668
1FMCU9DG1CKC74017,16300,1FM,C,U9D,G,1,C,K,C74017
1FM5K8F85EGC59380,31100,1FM,5,K8F,8,5,E,G,C59380
1FTFW1EF0CFD08038,31500,1FT,F,W1E,F,0,C,F,D08038
3FAHP0HA4CR334781,10000,3FA,H,P0H,A,4,C,R,334781
1ZVBP8CF4E5303678,27250,1ZV,B,P8C,F,4,E,5,303678
1FADP5CU1DL515088,15400,1FA,D,P5C,U,1,D,L,515088
3FAHP0HA5CR417748,8600,3FA,H,P0H,A,5,C,R,417748
1FTEX1E86AFB40610,16900,1FT,E,X1E,8,6,A,F,B40610
1FTFW1EF2DKE00194,33500,1FT,F,W1E,F,2,D,K,E00194
1FTNX21F92EC30416,3500,1FT,N,X21,F,9,2,E,C30416
3FAHP0JG3CR302919,11900,3FA,H,P0J,G,3,C,R,302919
2FAHP71W77X106618,1000,2FA,H,P71,W,7,7,X,106618
1FMCU0GXXDUD46913,15700,1FM,C,U0G,X,X,D,U,D46913
1FMEU63E78UA43206,4000,1FM,E,U63,E,7,8,U,A43206
2FMDK4JC2BBA62783,19600,2FM,D,K4J,C,2,B,B,A62783
1FT8W3BT2BEC93805,26000,1FT,8,W3B,T,2,B,E,C93805
1FM5K7F84EGB25132,33000,1FM,5,K7F,8,4,E,G,B25132
1FMCU0J93DUA99440,17700,1FM,C,U0J,9,3,D,U,A99440
3FADP4EJ1EM107655,9700,3FA,D,P4E,J,1,E,M,107655
1FAHP2H87EG138904,15300,1FA,H,P2H,8,7,E,G,138904
1ZVFT84N875301647,4800,1ZV,F,T84,N,8,7,5,301647
1FADP3K2XEL246367,13600,1FA,D,P3K,2,X,E,L,246367
1FBNE3BL6EDA82627,19000,1FB,N,E3B,L,6,E,D,A82627
1FTRX12W15FB14670,6700,1FT,R,X12,W,1,5,F,B14670
1FTNE2EW0DDB22629,21000,1FT,N,E2E,W,0,D,D,B22629
3FA6P0H75DR182569,14900,3FA,6,P0H,7,5,D,R,182569
1FADP3F29EL304429,12600,1FA,D,P3F,2,9,E,L,304429
3FAHP07Z18R190475,6900,3FA,H,P07,Z,1,8,R,190475
1FM5K8F8XFGA20456,33100,1FM,5,K8F,8,X,F,G,A20456
3FADP4EJ9CM153988,9000,3FA,D,P4E,J,9,C,M,153988
3FADP4EJ6EM196929,9800,3FA,D,P4E,J,6,E,M,196929
1ZVFT80N075219580,4100,1ZV,F,T80,N,0,7,5,219580
2FABP7BVXAX121634,3300,2FA,B,P7B,V,X,A,X,121634
2FMDK3KC2BBB54713,23700,2FM,D,K3K,C,2,B,B,B54713
1FMEU7E87AUA07423,15500,1FM,E,U7E,8,7,A,U,A07423
1FMCU9E77CKC39481,16500,1FM,C,U9E,7,7,C,K,C39481
1FADP3K29DL297888,9800,1FA,D,P3K,2,9,D,L,297888
1FTBF2B61BEC17700,15400,1FT,B,F2B,6,1,B,E,C17700
1FTFW1EF4CFB66535,28700,1FT,F,W1E,F,4,C,F,B66535
2FMHK6D81EBD27122,26000,2FM,H,K6D,8,1,E,B,D27122
1FMCU9D78AKA05445,7700,1FM,C,U9D,7,8,A,K,A05445
1FTSX31F82EB65549,3300,1FT,S,X31,F,8,2,E,B65549
1FAFP44433F391646,1300,1FA,F,P44,4,3,3,F,391646
1ZVBP8AM9D5247270,19000,1ZV,B,P8A,M,9,D,5,247270
3FAHP0GAXBR240145,8000,3FA,H,P0G,A,X,B,R,240145
1FMHK8F84CGA39710,27800,1FM,H,K8F,8,4,C,G,A39710
3FAHP0JA3BR341875,8700,3FA,H,P0J,A,3,B,R,341875
2FMGK5DC5BBD02374,13500,2FM,G,K5D,C,5,B,B,D02374
1FADP3F29DL265307,9300,1FA,D,P3F,2,9,D,L,265307
1FTFW1CT8EFA94329,24900,1FT,F,W1C,T,8,E,F,A94329
1FMCU0F79DUC69341,12500,1FM,C,U0F,7,9,D,U,C69341
3FA6P0K94DR106979,16600,3FA,6,P0K,9,4,D,R,106979
1FMCU0GX1DUC92580,14800,1FM,C,U0G,X,1,D,U,C92580
1FMCU9GX5DUA04211,19600,1FM,C,U9G,X,5,D,U,A04211
1FAFP24106G165900,3500,1FA,F,P24,1,0,6,G,165900
1FTYR10UX4PA47616,7500,1FT,Y,R10,U,X,4,P,A47616
1FADP3K29EL249552,11300,1FA,D,P3K,2,9,E,L,249552
1FM5K8F83DGC35531,24000,1FM,5,K8F,8,3,D,G,C35531
1FTNE2EW7EDA10296,20000,1FT,N,E2E,W,7,E,D,A10296
3FAHP0JA0BR279447,11000,3FA,H,P0J,A,0,B,R,279447
1FMCU9DG0CKC70606,11100,1FM,C,U9D,G,0,C,K,C70606
1FTNS2EW8EDA83900,22250,1FT,N,S2E,W,8,E,D,A83900
1FTFW1ET7EFC02078,27900,1FT,F,W1E,T,7,E,F,C02078
1FTYR10D27PA82638,8100,1FT,Y,R10,D,2,7,P,A82638
1FM5K8F80EGB91618,26600,1FM,5,K8F,8,0,E,G,B91618
1FTNE2EW7EDA14039,21600,1FT,N,E2E,W,7,E,D,A14039
1FTRF12W39KB75499,7400,1FT,R,F12,W,3,9,K,B75499
4F2CU08172KM57457,1050,4F2,C,U08,1,7,2,K,M57457
1FAHP2HW0CG143177,15000,1FA,H,P2H,W,0,C,G,143177
3FA6P0HD6ER214579,15400,3FA,6,P0H,D,6,E,R,214579
3FAHP0HA2CR334441,8300,3FA,H,P0H,A,2,C,R,334441
1FMCU0D71CKC78208,12800,1FM,C,U0D,7,1,C,K,C78208
1FMCU0GX9EUA79068,16400,1FM,C,U0G,X,9,E,U,A79068
2FMGK5CC4ABB29883,14000,2FM,G,K5C,C,4,A,B,B29883
1FAHP3N21CL333889,14000,1FA,H,P3N,2,1,C,L,333889
3FA6P0H76ER285422,13600,3FA,6,P0H,7,6,E,R,285422
1FM5K7F8XEGC01775,27000,1FM,5,K7F,8,X,E,G,C01775
1FMEU63EX6UA05319,4500,1FM,E,U63,E,X,6,U,A05319
1FMDK05W18GA03626,3500,1FM,D,K05,W,1,8,G,A03626
1FM5K8F89DGA23961,28700,1FM,5,K8F,8,9,D,G,A23961
1FAHP35N49W259739,4700,1FA,H,P35,N,4,9,W,259739
1FADP3F20DL267298,10600,1FA,D,P3F,2,0,D,L,267298
1FTRW12809KC75948,14400,1FT,R,W12,8,0,9,K,C75948
1FADP3F23EL162255,11000,1FA,D,P3F,2,3,E,L,162255
1FADP3F24DL277431,11800,1FA,D,P3F,2,4,D,L,277431
1FTNE2EL3CDB10561,15300,1FT,N,E2E,L,3,C,D,B10561
1FMZU62K43UC06587,1250,1FM,Z,U62,K,4,3,U,C06587
1FTFX1EF9BFC39989,9500,1FT,F,X1E,F,9,B,F,C39989
1ZVBP8AM1E5232313,17600,1ZV,B,P8A,M,1,E,5,232313
2FMDK4KC7BBA20916,17000,2FM,D,K4K,C,7,B,B,A20916
1FTFW1EF3BFC77124,27400,1FT,F,W1E,F,3,B,F,C77124
1FMRU15W23LA29870,3200,1FM,R,U15,W,2,3,L,A29870
1FADP3F29DL247289,9900,1FA,D,P3F,2,9,D,L,247289
1FAHP34NX7W185287,1900,1FA,H,P34,N,X,7,W,185287
1FTNE2EW0EDA13833,23500,1FT,N,E2E,W,0,E,D,A13833
3FADP4AJ7EM239535,8900,3FA,D,P4A,J,7,E,M,239535
1FM5K8D87DGC06326,21800,1FM,5,K8D,8,7,D,G,C06326
2FMDK3JC2CBA70989,16100,2FM,D,K3J,C,2,C,B,A70989
2FMDK3JC6DBA02549,19500,2FM,D,K3J,C,6,D,B,A02549
1FBNE3BL8DDA78237,18200,1FB,N,E3B,L,8,D,D,A78237
2FMDK4KC8DBB08697,24700,2FM,D,K4K,C,8,D,B,B08697
1FM5K7D84DGC61455,18800,1FM,5,K7D,8,4,D,G,C61455
1FMYU02Z75KB92639,3400,1FM,Y,U02,Z,7,5,K,B92639
1FAHP2E85DG177445,13200,1FA,H,P2E,8,5,D,G,177445
1FAHP2E89DG207806,12200,1FA,H,P2E,8,9,D,G,207806
1FMEU64E66ZA27982,4300,1FM,E,U64,E,6,6,Z,A27982
1FTWW32P66EC29055,9500,1FT,W,W32,P,6,6,E,C29055
1FMCU0C78BKC65424,9200,1FM,C,U0C,7,8,B,K,C65424
1FTPW14V47KC63535,13700,1FT,P,W14,V,4,7,K,C63535
1FTFW1ET9BFD16790,24200,1FT,F,W1E,T,9,B,F,D16790
3FADP4CJ9CM145764,8300,3FA,D,P4C,J,9,C,M,145764
1FADP3K20EL214317,11500,1FA,D,P3K,2,0,E,L,214317
3FA6P0H96ER308201,16000,3FA,6,P0H,9,6,E,R,308201
1FADP3F20DL144813,11700,1FA,D,P3F,2,0,D,L,144813
1FBSS3BL4DDA43058,20000,1FB,S,S3B,L,4,D,D,A43058
1FTPW12588FC10866,3900,1FT,P,W12,5,8,8,F,C10866
1FTNE2EL5ADA49436,7100,1FT,N,E2E,L,5,A,D,A49436
2FMDK3JCXBBB44819,15300,2FM,D,K3J,C,X,B,B,B44819
1FMHK8D89BGA57623,23100,1FM,H,K8D,8,9,B,G,A57623
3FAHP0JA7CR314101,12400,3FA,H,P0J,A,7,C,R,314101
3FA6P0K93ER326227,21600,3FA,6,P0K,9,3,E,R,326227
1FA6P0H71E5396026,16400,1FA,6,P0H,7,1,E,5,396026
2FTRF17294CA70324,1800,2FT,R,F17,2,9,4,C,A70324
1FMPU17L34LA22311,4400,1FM,P,U17,L,3,4,L,A22311
1FAHP2D86DG232549,10000,1FA,H,P2D,8,6,D,G,232549
3FAHP07Z68R103301,3400,3FA,H,P07,Z,6,8,R,103301
1FTPW14VX7KC30135,5700,1FT,P,W14,V,X,7,K,C30135
